Sample_Date,Sample_day,Uniq_ID,FRP-date,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,Qubit_tube_conc,FRP,,,,comments
11/27/17,26,6213_506_26,2017-6213,0,I,9A,9,506,ambient,#N/A,6213,,,,
11/8/17,9,6179_34_9,2017-6179,0,M,9A,9,34,ambient,#N/A,6179,,,,
11/10/17,12,6179_315_12,2017-6179,0,M,9A,9,315,ambient,#N/A,6179,,,,
11/27/17,26,6179_515_26,2017-6179,0,M,9A,9,515,ambient,#N/A,6179,,,,
11/8/17,9,6176_48_9,2017-6176,0,M,9A,8,48,ambient,#N/A,6176,,,,
11/10/17,12,6176_329_12,2017-6176,0,M,8A,8,329,ambient,#N/A,6176,,,,
11/27/17,26,6176_490_26,2017-6176,0,M,8A,8,490,ambient,#N/A,6176,,,,
11/8/17,9,"6172_60,_9",2017-6172,0,M,7A,9,"60, 100",ambient,#N/A,6172,,,,"short 1 crab in tank 1C: crab 3438/3457 (FRP: 2017-6172) should have been placed in trtmnt 1C, but was returned to unsampled pool after blood draw, then later pulled out again, sampled & put in 9A."
11/10/17,12,6172_316_12,2017-6172,0,M,9A,9,316,ambient,#N/A,6172,,,,
11/27/17,26,6172_517_26,2017-6172,0,M,9A,9,517,ambient,#N/A,6172,,,,
11/8/17,9,6161_53_9,2017-6161,0,M,7A,9,53,ambient,#N/A,6161,,,,
11/10/17,12,6161_302_12,2017-6161,0,M,9A,9,302,ambient,#N/A,6161,,,,
11/27/17,26,6161_512_26,2017-6161,0,M,9A,9,512,ambient,#N/A,6161,,,,
11/8/17,9,6150_119_9,2017-6150,0,M,3C,9,119,ambient,#N/A,6150,,,,
11/10/17,12,6150_312_12,2017-6150,0,M,9A,9,312,ambient,#N/A,6150,,,,
11/27/17,26,6150_511_26,2017-6150,0,M,9A,9,511,ambient,#N/A,6150,,,,
11/8/17,9,6152_32_9,2017-6152,0,M,9A,7,32,ambient,#N/A,6152,,,,
11/10/17,12,6152_344_12,2017-6152,0,M,7A,7,344,ambient,#N/A,6152,,,,
11/27/17,26,6152_467_26,2017-6152,0,M,7A,7,467,ambient,#N/A,6152,,,,
11/8/17,9,6107_115_9,2017-6107,0,M,3C,7,115,ambient,#N/A,6107,,,,
11/10/17,12,6107_350_12,2017-6107,0,M,7A,7,350,ambient,#N/A,6107,,,,
11/27/17,26,6107_471_26,2017-6107,0,M,7A,7,471,ambient,#N/A,6107,,,,
11/8/17,9,6124_75_9,2017-6124,0,M,7A,7,75,ambient,#N/A,6124,,,,
11/10/17,12,6124_347_12,2017-6124,0,M,7A,7,347,ambient,#N/A,6124,,,,
11/27/17,26,6124_464_26,2017-6124,0,M,7A,7,464,ambient,#N/A,6124,,,,
11/8/17,9,6143_10_9,2017-6143,0,M,8A,7,10,ambient,#N/A,6143,,,,
11/10/17,12,6143_343_12,2017-6143,0,M,7A,7,343,ambient,#N/A,6143,,,,
11/27/17,26,6143_479_26,2017-6143,0,M,7A,7,479,ambient,#N/A,6143,,,,
11/8/17,9,6210_120_9,2017-6210,1,I,3C,4,120,warm,0,6210,,,,
11/10/17,12,6210_274_12,2017-6210,1,I,4W,4,274,warm,61.1,6210,,,,
11/27/17,26,6210_401_26,2017-6210,1,I,4W,4,401,warm,54.6,6210,,,,
11/8/17,9,6129_86_9,2017-6129,1,I,7A,5,86,warm,77.2,6129,,,,
11/10/17,12,6129_299_12,2017-6129,1,I,5W,5,299,warm,0,6129,,,,
11/27/17,26,6129_403_26,2017-6129,1,I,5W,5,403,warm,66,6129,,,,
11/8/17,9,6180_149_9,2017-6180,0,I,2C,6,149,warm,62.7,6180,,,,
11/10/17,12,6180_370_12,2017-6180,0,I,6W,6,370,warm,44.9,6180,,,,
11/27/17,26,6180_402_26,2017-6180,0,I,6W,6,402,warm,36.4,6180,,,,
11/8/17,9,6139_104_9,2017-6139,3,M,3C,8,104,ambient,#N/A,6139,,,,
11/10/17,12,6139_332_12,2017-6139,3,M,8A,8,332,ambient,#N/A,6139,,,,
11/27/17,26,6139_493_26,2017-6139,3,M,8A,8,493,ambient,#N/A,6139,,,,
11/8/17,9,6200_94_9,2017-6200,3,M,1C,1,94,cold,#N/A,6200,,,,to tank 1
11/10/17,12,6200_208_12,2017-6200,3,M,1C,1,208,cold,#N/A,6200,,,,
11/27/17,26,6200_416_26,2017-6200,3,M,1C,1,416,cold,#N/A,6200,,,,
11/8/17,9,6204_114_9,2017-6204,3,M,3C,3,114,cold,#N/A,6204,,,,
11/10/17,12,6204_252_12,2017-6204,3,M,3C,3,252,cold,#N/A,6204,,,,
11/27/17,26,6204_448_26,2017-6204,3,M,3C,3,448,cold,#N/A,6204,,,,
